FOOD,ABBREV
All purpose,ALLPURP
Aluminum,AL
And,&
Apple,APPL
Apples,APPLS
Applesauce,APPLSAUC
Approximate,APPROX
Approximately,APPROX
Arm and blade,ARM&BLD
Artificial,ART
Aspartame,ASPRT
Aspartame-sweetened,ASPRT-SWTND
Australia,AUS
Baby food,BABYFD
Baked,BKD
Barbequed,BBQ
Based,BSD
Beans,BNS
Beef,BF
Berry,BERR
Beverage,BEV
Beverage,BEVERAG
Blackeyes,BLKEYES
Blade,BLDE
Blend,BLND
Blueberry,BLUEB
Blueberry,BLUEBRY
Boiled,BLD
Boneless,BNLESS
Boneless,BNLS
Bottled,BTLD
Bottled,BTTLD
Bottom,BTTM
Bowl,BWL
Braised,BRSD
Bratwurst,BROTWURST
Bread,BRD
Breading,BRDING
Breading,BREDING
Breakfast,BRKFST
Breast,BRST
Broiled,BRLD
Broilers,BRLER
Broilers,BROILR
Broilers,BROLR
Brown,BRN
Brown,BRWN
Bun,BN
Burger,BRGR
Butter,BTR
Buttermilk,BTTRMLK
Buttermilk,BUTMLK
Buttermilk,BUTTMLK
Calcium,CA
Calorie,CAL
Candy,CAND
Canned,CND
Canned,CNND
Caramel,CARML
Carbonated,CARB
Center,CNTR
Cereal,CRL
Cheddar,CHEDD
Cheese,CHS
Cheeseburger,CHESEBRGER
Cheeseburger,CHESEBURGER
Cheeseburger,CHSBRGR
Cheeseburger,CHSBURGR
Cheeseburger,CHSEBURGER
Chicken,CHCK
Chicken,CHCKN
Chicken,CHICK
Chocolate,CHOC
Choice,CHOIC
Cholesterol,CHOL
Cholesterol-free,CHOL-FREE
Chopped,CHOPD
Chops,CHPS
Chowder,CHOW
Chunk,CHCK
Chunk,CHK
Chunky,CHNKY
Chunky.,CHNKY
Cinnamon,CINN
Clam,CLM
Classic,CLSSC
Club,CLB
Clusters,CLSTRS
Coated,COATD
Coconut,COCNT
Commercial,COMM
Commercially,COMMLY
Commodity,CMDTY
Composite,COMP
Concentrate,CONC
Concentrated,CONCD
Condensed,COND
Condiment,CONDMNT
Condiments,CNDMNT
Condiments,CONDMNTS
Cooked,CKD
Cottonseed,CTTNSD
Country,CONTRY
Cream,CREM
Cream,CRM
Creamed,CRMD
Creamy,CRMY
Crinkle,CRNKL
Crowder,CRWDR
Crust,CRST
Dark,DK
Dark chocolate,DKCHOCCOV
Decorticated,DECORT
Dehydrated,DEHYD
Denuded,DNUDED
Dessert,DSSRT
Diluted,DIL
Domestic,DOM
Double,DBL
Double,DOUBL
Drained,DRND
Dressing,DRSG
Dressing,DRSNG
Drink,DRK
Drumstick,DRMSTK
Drumstick,DRUMSTK
Duckling,DUCKL
Dumplings,DMPLINGS
Energy,ENER
Energy,ENGY
England,ENGL
English,ENG
Enriched,ENR
Equal,EQ
Evaporated,EVAP
Except,XCPT
Extra,EX
Extruded,EXTRDD
Extruded,EXTRUD
Farms,FRMS
Fashion,FASH
Flank steak,FLANKSTK
Flavored,FLAV
Fleshed,FLSH
Flour,FLR
Food,FD
Formulate,FORMULAT
Fortified,FORT
French,FRNCH
Frenched,FRNCHED
Fresh,FRSH
Frosted,FRSTD
Frosting,FRSTNG
Frozen,FROZ
Frozen,FRZ
Fruit,FRT
Fruit,FRUI
Fryers,FRYRS
Fudge,FUDG
GMO,GMBO
Garden,GRDN
Garlic,GRLIC
General,GENER
Grades,GRDS
Graduate,GRADUAT
Gram,GM
Granola,GRANOL
Grass,GRSS
Gravy,GRVY
Green,GRN
Greens,GRNS
Grilled,GRILD
Grilled,GRLD
Grilled,GRLL
Grilled,GRLLD
Grilled,GRLLED
Hamburger,HAMBRGER
Hamburger,HMBURGR
Healthy,HLTHY
Heated,HTD
Heavy,HVY
Hi-meat,HI-MT
High,HI
Hour,HR
Hydrogen,HYDROG
Hydrogenated,HYDR
Imitation,IMITN
Immature,IMMAT
Immature,IMMTRE
Imported,IMP
Include,INCL
Including,INCL
Ingredient,ING
Inside,INSDE
Instant,INST
Italian,ITAL
Juice,JUC
Juice,JUS
Juices,JUICS
Junior,JR
Kellogg,KELLG'S
Kernels,KRNLS
Large,LRG
Lean,LN
Lean only,LN
Leavened,LVND
Lettuce,LETUCE
Light,LT
Liquid,LIQ
Little,LITTL
Low,LO
Low fat,LOFAT
Made,MDE
Maple,MPLE
Marathon,MARATH
Marathon,MARATHO
Marshmallow,MARSHMLLW
Mashed,MSHD
Mature,MTRE
Mature,MTURE
Mayonnaise,MAYO
Medium,MED
Mesquite,MESQ
Microwaveable,MCRWVBL
Microwaveable,MCRWVEABLE
Microwaveable,MICROWAVBL
Middle,MDLE
Milk chocolate,MILKCHOCOV
Milkshake,MILKSHAK
Minutes,MIN
Mixed,MXD
Moisture,NZ
Morningstar,MORNNGSTR
Muffin,MUFF
Multigrain,MULTIGRA
Multigrain crunch,MULTIGRNCRUNCH
Mushrooms,MUSHRMS
Natural,NAT
Nature,NATUR
New Zealand,NZ
Noncarbonated,NONCARB
Nonfat dry milk,NFDM
Nonfat dry milk solids,NFDMS
Nonfat milk solids,NFMS
Noodle,NODLE
Not Further Specified,NFS
Novel,NOVL
Novel,NOVLT
Nuggets,NUGTS
Nutrients,NUTR
Nutrition,NUTR
Nutrition,NUTRIT
Original,ORIG
Other,OTHR
Ounce,OZ
Pack,PK
Par fried PAR,FR
Parboiled,FARBLD
Partial,PART
Partially,PART
Pasteurized,PAST
Pastries,PSTRS
Patty,PATY
Patty,PTTY
Peanut,PNT
Peanut,PNUT
Peanut,SHEANUT
Peanuts,PNUTS
Pepper,PEPER
Petit,PTIT
Phosphate,PO4
Phosphorus,P
Pili nuts,PILINUTS
Pineapple,PNAPPL
Plain,PLN
Plate,PLTE
Porterhouse,PRTRHS
Potassium,KRNLS
Powder,PDR
Powdered,PDR
Precooked,PRECKD
Preheated,PREHTD
Prepared,PREP
Processed,PROC
Product,PRDCT
Propionate,PROP
Protein,PROT
Pudding,PUDD
Raisin,RASN
Raw,RW
Ready-to-bake,RTB
Ready-to-cook,RTC
Ready-to-drink,RTD
Ready-to-eat,RTE
Ready-to-feed,RTF
Ready-to-heat,RTH
Ready-to-serve,RTS
Ready-to-use,RTU
Recipe,RECIP
Reconstituted,RECON
Reduced,RED
Reduced-calorie,RED-CAL
Refrigerated,REFR
Regular,REG
Reheated,REHTD
Removed,REMOVD
Removed,RMVD
Replacement,REPLCMNT
Request,REQUES
Request,REQUST
Request,RQST
Restaurant-prepared,REST-PREP
Retail,RTL
Ribeye,RBEYE
Roast,RST
Roasted,RSTD
Round,RND
Salty,SAL
Sandwich,SNDWCH
Sauce,SAU
Sauce,SAUS
Sausage,SAUSGE
Sausage,SSAGE
Sausage,SSGE
Scalloped,SCALLPD
Scrambled,SCRMBLD
Seed,SD
Select,SEL
Semisweet,SEMISWT
Shank,SHNK
Shank and sirloin,SHK&SIRL
Short,SHRT
Shoulder,SHLDR
Shred,SHRD
Simmered,SIMMRD
Single,SING
Sirloin,SIRLON
Size,SZ
Skin,SKN
Skinless,SKNLSS
Skirt,SKRT
Slice,SLCE
Small,SML
Smoothie,SMTH
Snackfood,SNACFOO
Snackfood,SNACKFO
Snackfood,SNACKFOO
Snackfood,SNKF
Snicker,SNICKE
Snicker,SNKF
Sodium,NAT
Soft,SFT
Solids,SOL
Solution,SOLN
Soup,SOP
Southern,STHRN
Soybean,SOYBN
Special,SPL
Species,SP
Spiral,SPIRL
Spray,SPRY
Spread,SPRD
Standard,STD
Steak,STEK
Steamed,STMD
Stewed,STWD
Stick,STK
Sticks,STKS
Strained,STR
Strawberry,STRWBY
Style,STYL
Substitute,SUB
Sugar,SGR
Summer,SMMR
Supplement,SUPP
Sweet,SWE
Sweet,SWT
Sweetened,SWTND
Sweetener,SWTNR
Tarts,TRTS
Teaspoon,TSP
Tender,TNDR
Tenderloin,TENDERLN
Tenderloin,TENLN
Tenderloin,TNDERLN
Tenderloin,TNDRLN
Thousand,1000
Toasted,TSTD
Toaster,TSTR
Toddler,TODD
Toddler,TODDL
Tomato,TMTO
Tomato,TOMAT
Tomato,TOMO
Turkey,TRKY
Uncooked,UNCKD
Uncreamed,UNCRMD
Under,UNDR
Undiluted,UNDIL
Unenriched,UNENR
Unheated,UNHTD
Unprepared,UNPREP
Unprepared,UNPRP
Unspecified,UNSPEC
Unsweetened,UNSWTND
Valley,VALL
Valley,VALLE
Variety,VAR
Vegetable,VEG
Vegetable,VEGE
Vitamins,VITMNS
Wagyu,WGU
Water,H20
Wheats,WHTS
Whitener,WHTNR
Whole,WHL
Whole grain,WHLGRN
Winter,WNTR
With,W/
Without,WO/
Yellow,YEL
Young,YNG
